0x073e:  03 | af=9240 bc=fb25 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=228 lcdc=91 ly=93
0x073f:  78 | af=9240 bc=fb26 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=224 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb26 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=222 lcdc=91 ly=93
0x0741:  28 | af=ff00 bc=fb26 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=220 lcdc=91 ly=93
0x0743:  f0 | af=ff00 bc=fb26 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=216 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb26 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=210 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb26 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=206 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb26 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=200 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb27 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=196 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb27 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=194 lcdc=91 ly=93
0x0741:  28 | af=ff00 bc=fb27 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=192 lcdc=91 ly=93
0x0743:  f0 | af=ff00 bc=fb27 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=188 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb27 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=182 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb27 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=178 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb27 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=172 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb28 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=168 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb28 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=166 lcdc=91 ly=93
0x0741:  28 | af=fb00 bc=fb28 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=164 lcdc=91 ly=93
0x0743:  f0 | af=fb00 bc=fb28 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=160 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb28 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=154 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb28 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=150 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb28 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=144 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb29 de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=140 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb29 de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=138 lcdc=91 ly=93
0x0741:  28 | af=fb00 bc=fb29 de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=136 lcdc=91 ly=93
0x0743:  f0 | af=fb00 bc=fb29 de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=132 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb29 de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=126 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb29 de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=122 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb29 de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=116 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb2a de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=112 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb2a de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=110 lcdc=91 ly=93
0x0741:  28 | af=fb00 bc=fb2a de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=108 lcdc=91 ly=93
0x0743:  f0 | af=fb00 bc=fb2a de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=104 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb2a de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=98 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb2a de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=94 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb2a de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=88 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb2b de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=84 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb2b de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=82 lcdc=91 ly=93
0x0741:  28 | af=fb00 bc=fb2b de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=80 lcdc=91 ly=93
0x0743:  f0 | af=fb00 bc=fb2b de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=76 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb2b de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=70 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb2b de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=66 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb2b de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=60 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb2c de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=56 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb2c de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=54 lcdc=91 ly=93
0x0741:  28 | af=ff00 bc=fb2c de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=52 lcdc=91 ly=93
0x0743:  f0 | af=ff00 bc=fb2c de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=48 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb2c de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=42 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb2c de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=38 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb2c de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=32 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb2d de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=28 lcdc=91 ly=93
0x0740:  b1 | af=fb40 bc=fb2d de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=26 lcdc=91 ly=93
0x0741:  28 | af=ff00 bc=fb2d de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=24 lcdc=91 ly=93
0x0743:  f0 | af=ff00 bc=fb2d de=ff56 hl=0b8f sp=dff3 pc=0743 | cnt=20 lcdc=91 ly=93
0x0745:  fe | af=9300 bc=fb2d de=ff56 hl=0b8f sp=dff3 pc=0745 | cnt=14 lcdc=91 ly=93
0x0747:  20 | af=9340 bc=fb2d de=ff56 hl=0b8f sp=dff3 pc=0747 | cnt=10 lcdc=91 ly=93
0x073e:  03 | af=9340 bc=fb2d de=ff56 hl=0b8f sp=dff3 pc=073e | cnt=4 lcdc=91 ly=93
0x073f:  78 | af=9340 bc=fb2e de=ff56 hl=0b8f sp=dff3 pc=073f | cnt=228 lcdc=91 ly=94
0x0740:  b1 | af=fb40 bc=fb2e de=ff56 hl=0b8f sp=dff3 pc=0740 | cnt=226 lcdc=91 ly=94
0x0741:  28 | af=ff00 bc=fb2e de=ff56 hl=0b8f sp=dff3 pc=0741 | cnt=224 lcdc=91 ly=94
